Debt type,Average debt
Bachelor's degree debt,$29300
Graduate school loan debt,$77300
Parent PLUS loan debt,$30639
Law school debt,$132740
MBA student debt,$51850
Medical school debt,$212341
Dental school debt,$296500
Pharmacy school loan debt,$170956
Nursing school student debt,$40000-$54999
Veterinary school debt,$202647
