Degree/School Type,Total Student Loan Debt
Associate Degree,$22,040
Bachelor’s Degree,$35,550
Master’s/Public,$68,240
Research doctorate/Private nonprofit,$73,130
Master’s/Private for-profit,$79,910
Research doctorate/Public,$83,320
Masters/Private nonprofit,$90,000
Research doctorate/Private for-profit,$144,150
Professional doctorate/Public,$187,030
Professional doctorate/Private for-profit,$193,350
Professional doctorate/Private nonprofit,$247,500
