Category,Bachelor Income (USD),Bachelor Debt (USD),Master Income (USD),Master Debt (USD)
General,80236,29300,95680,77300
CS - All,100000,29300,95680,77300
CS - Men,115500,29300,95680,77300
CS - Women,91990,29300,95680,77300
Other Majors Average,77515.0,29300,95680,77300
